总列数: 63 | 诊断行数: 100000

列名                        dtype    唯一数     唯一比     缺失     可数值    示例
--------------------------------------------------------------------------------------------
frame.time                str      99998   1.0     0.0    0.0     2021 11:44:10.0817530
tcp.checksum              float64  46602   0.466   0.0    1.0    47892.0
tcp.ack_raw               float64  43292   0.4329  0.0    1.0    3153345534.0
tcp.dstport               float64  6187    0.0619  0.0    1.0    64855.0
tcp.srcport               float64  6187    0.0619  0.0    1.0    1883.0
tcp.options               str      69      0.0007  0.0    0.87   020405b401010402010303
tcp.payload               str      35      0.0003  0.0    0.81   0
mqtt.msg                  str      32      0.0003  0.0    0.94   0
ip.dst_host               str      5       0.0001  0.0    0.0    192.168.0.101
arp.dst.proto_ipv4        str      5       0.0001  0.0    1.0    0
tcp.ack                   float64  7       0.0001  0.0    1.0    1.0
tcp.flags                 float64  8       0.0001  0.0    1.0    18.0
tcp.len                   float64  5       0.0001  0.0    1.0    0.0
tcp.seq                   float64  7       0.0001  0.0    1.0    0.0
mqtt.hdrflags             float64  5       0.0001  0.0    1.0    0.0
mqtt.msgtype              float64  5       0.0001  0.0    1.0    0.0
ip.src_host               str      4       0.0     0.0    0.0    192.168.0.128
arp.opcode                float64  3       0.0     0.0    1.0    0.0
arp.hw.size               float64  2       0.0     0.0    1.0    0.0
arp.src.proto_ipv4        str      3       0.0     0.0    1.0    0
icmp.checksum             float64  1       0.0     0.0    1.0    0.0
icmp.seq_le               float64  1       0.0     0.0    1.0    0.0
icmp.transmit_timestamp   float64  1       0.0     0.0    1.0    0.0
icmp.unused               float64  1       0.0     0.0    1.0    0.0
http.file_data            float64  1       0.0     0.0    1.0    0.0
http.content_length       float64  1       0.0     0.0    1.0    0.0
http.request.uri.query    float64  1       0.0     0.0    1.0    0.0
http.request.method       float64  1       0.0     0.0    1.0    0.0
http.referer              float64  1       0.0     0.0    1.0    0.0
http.request.full_uri     float64  1       0.0     0.0    1.0    0.0
http.request.version      float64  1       0.0     0.0    1.0    0.0
http.response             float64  1       0.0     0.0    1.0    0.0
http.tls_port             float64  1       0.0     0.0    1.0    0.0
tcp.connection.fin        float64  2       0.0     0.0    1.0    0.0
tcp.connection.rst        float64  2       0.0     0.0    1.0    0.0
tcp.connection.syn        float64  2       0.0     0.0    1.0    0.0
tcp.connection.synack     float64  2       0.0     0.0    1.0    1.0
tcp.flags.ack             float64  2       0.0     0.0    1.0    1.0
udp.port                  float64  1       0.0     0.0    1.0    0.0
udp.stream                float64  1       0.0     0.0    1.0    0.0
udp.time_delta            float64  1       0.0     0.0    1.0    0.0
dns.qry.name              float64  1       0.0     0.0    1.0    0.0
dns.qry.name.len          int64    1       0.0     0.0    1.0    0
dns.qry.qu                float64  1       0.0     0.0    1.0    0.0
dns.qry.type              float64  1       0.0     0.0    1.0    0.0
dns.retransmission        float64  1       0.0     0.0    1.0    0.0
dns.retransmit_request    float64  1       0.0     0.0    1.0    0.0
dns.retransmit_request_in float64  1       0.0     0.0    1.0    0.0
mqtt.conack.flags         str      2       0.0     0.0    0.94   0
mqtt.conflag.cleansess    float64  2       0.0     0.0    1.0    0.0
mqtt.conflags             float64  2       0.0     0.0    1.0    0.0
mqtt.len                  float64  4       0.0     0.0    1.0    0.0
mqtt.msg_decoded_as       float64  1       0.0     0.0    1.0    0.0
mqtt.proto_len            float64  2       0.0     0.0    1.0    0.0
mqtt.protoname            str      2       0.0     0.0    0.94   0
mqtt.topic                str      2       0.0     0.0    0.94   0
mqtt.topic_len            float64  2       0.0     0.0    1.0    0.0
mqtt.ver                  float64  2       0.0     0.0    1.0    0.0
mbtcp.len                 float64  1       0.0     0.0    1.0    0.0
mbtcp.trans_id            float64  1       0.0     0.0    1.0    0.0
mbtcp.unit_id             float64  1       0.0     0.0    1.0    0.0
Attack_label              int64    1       0.0     0.0    1.0    0
Attack_type               str      1       0.0     0.0    0.0    Normal
